subject,run,roi,var_expl_pc1,var_expl_pc23
sub-23,3,PRC,0.4532682495073865,0.27081010302886616
sub-23,4,PRC,0.4908517806641398,0.28551638572187865
sub-24,1,PRC,0.44820575284140274,0.3011706571351751
sub-24,2,PRC,0.4639861651148743,0.26938790895468195
sub-24,3,PRC,0.5790924383212679,0.21363621654658455
sub-24,4,PRC,0.4377507570295814,0.2751906927195842
sub-01,1,PHC,0.46584753605943097,0.26009060192322464
sub-01,2,PHC,0.4470773710324533,0.24829541497749244
sub-01,3,PHC,0.4315860597955985,0.2524355470057742
sub-01,4,PHC,0.4334242893179508,0.25088463794398735
sub-02,1,PHC,0.4862665356619508,0.21586760920577414
sub-02,2,PHC,0.5341417486939114,0.18398015701628162
sub-02,3,PHC,0.5180151766145651,0.21039271962533201
sub-02,4,PHC,0.5169620614303452,0.22294175145581066
sub-03,1,PHC,0.38447945639432735,0.33695887962909005
sub-03,2,PHC,0.32962808240163594,0.35048650586515095
sub-03,3,PHC,0.34861337615397686,0.30195418393357215
sub-03,4,PHC,0.32862486087588827,0.3235314122198817
sub-04,1,PHC,0.4605103732210438,0.32915599050482247
sub-04,2,PHC,0.5356777246434301,0.2622679408182509
sub-04,3,PHC,0.4772223364668786,0.3062266421002089
sub-04,4,PHC,0.5196496724803696,0.26035636364305315
sub-07,1,PHC,0.2907275555102256,0.33672390584224815
sub-07,2,PHC,0.44286304272247323,0.2689967017290086
sub-07,3,PHC,0.3735007699007474,0.2763070480500077
sub-07,4,PHC,0.42244155237371933,0.26662589130699155
sub-08,1,PHC,0.3868422575267792,0.3017851532997682
sub-08,2,PHC,0.3737657061179176,0.29986448835937685
sub-08,3,PHC,0.4037868870333005,0.2886184496052622
sub-08,4,PHC,0.5280736465680328,0.24006926047753102
sub-09,1,PHC,0.41673947378722753,0.2939864393521082
sub-09,2,PHC,0.3500078595562245,0.3432863946818356
sub-09,3,PHC,0.34129028504319414,0.3636752941295692
sub-09,4,PHC,0.36534880391108077,0.353997954655394
sub-10,1,PHC,0.4480496497002927,0.25918051544789944
sub-10,2,PHC,0.5080526444105511,0.22986398973009206
sub-10,3,PHC,0.5005816766547837,0.2663169015361036
sub-10,4,PHC,0.4721497137933954,0.2683812277304423
sub-11,1,PHC,0.6281694572346772,0.1560371996423433
sub-11,2,PHC,0.3964541514775696,0.2662491332198079
sub-11,3,PHC,0.38757491295548274,0.2782026081866113
sub-11,4,PHC,0.43185675785908584,0.25770224101733025
sub-12,1,PHC,0.4517312907696182,0.25492800494086076
sub-12,2,PHC,0.35596391535824395,0.35159133228927775
sub-12,3,PHC,0.4350965219292501,0.28123809130164235
sub-12,4,PHC,0.421197749866698,0.29031622979706007
sub-13,1,PHC,0.4815991279378029,0.22576494843383182
